WORLD:

Rows: 20
Columns: 80
Log Rows: 10
Log Columns: 100
Turn: 73

ORGANISM:

Wolf (11, 13): Age - 72, Strength - 9
Dandelion (10, 38): Age - 40, Strength - 0
Grass (14, 52): Age - 40, Strength - 0
Dandelion (10, 43): Age - 40, Strength - 0
Dandelion (16, 46): Age - 39, Strength - 0
Dandelion (12, 44): Age - 39, Strength - 0
Dandelion (15, 47): Age - 39, Strength - 0
Dandelion (10, 36): Age - 39, Strength - 0
Guarana (2, 42): Age - 39, Strength - 0
Guarana (1, 38): Age - 39, Strength - 0
Grass (11, 54): Age - 39, Strength - 0
Guarana (1, 43): Age - 39, Strength - 0
Guarana (5, 40): Age - 39, Strength - 0
Dandelion (10, 34): Age - 39, Strength - 0
Grass (8, 47): Age - 39, Strength - 0
Grass (14, 47): Age - 39, Strength - 0
Dandelion (14, 45): Age - 39, Strength - 0
Dandelion (10, 39): Age - 39, Strength - 0
Dandelion (16, 47): Age - 38, Strength - 0
Dandelion (12, 45): Age - 38, Strength - 0
Dandelion (9, 36): Age - 38, Strength - 0
Guarana (0, 43): Age - 38, Strength - 0
Grass (9, 49): Age - 38, Strength - 0
Dandelion (18, 46): Age - 38, Strength - 0
Grass (10, 47): Age - 38, Strength - 0
Grass (13, 53): Age - 38, Strength - 0
Dandelion (9, 41): Age - 38, Strength - 0
Dandelion (17, 28): Age - 38, Strength - 0
Dandelion (14, 30): Age - 38, Strength - 0
Dandelion (19, 28): Age - 38, Strength - 0
Dandelion (13, 45): Age - 38, Strength - 0
Grass (8, 51): Age - 38, Strength - 0
Dandelion (10, 37): Age - 38, Strength - 0
Dandelion (9, 33): Age - 38, Strength - 0
Dandelion (14, 46): Age - 38, Strength - 0
Guarana (2, 38): Age - 37, Strength - 0
Dandelion (10, 35): Age - 37, Strength - 0
Hogweed (19, 26): Age - 37, Strength - 10
Grass (12, 47): Age - 37, Strength - 0
Grass (8, 50): Age - 37, Strength - 0
Grass (15, 48): Age - 37, Strength - 0
Guarana (5, 41): Age - 37, Strength - 0
Grass (8, 46): Age - 37, Strength - 0
Dandelion (9, 38): Age - 37, Strength - 0
Grass (14, 53): Age - 37, Strength - 0
Dandelion (11, 44): Age - 36, Strength - 0
Dandelion (10, 44): Age - 36, Strength - 0
Guarana (2, 43): Age - 36, Strength - 0
Guarana (1, 37): Age - 36, Strength - 0
Dandelion (19, 46): Age - 36, Strength - 0
Dandelion (17, 27): Age - 36, Strength - 0
Dandelion (18, 28): Age - 36, Strength - 0
Dandelion (9, 39): Age - 36, Strength - 0
Hogweed (16, 24): Age - 36, Strength - 10
Guarana (0, 37): Age - 36, Strength - 0
Guarana (3, 37): Age - 36, Strength - 0
Guarana (4, 42): Age - 36, Strength - 0
Grass (9, 45): Age - 36, Strength - 0
Hogweed (16, 21): Age - 36, Strength - 10
Dandelion (17, 47): Age - 36, Strength - 0
Dandelion (9, 43): Age - 36, Strength - 0
Grass (9, 53): Age - 36, Strength - 0
Dandelion (16, 27): Age - 36, Strength - 0
Dandelion (19, 27): Age - 35, Strength - 0
Dandelion (9, 37): Age - 35, Strength - 0
Dandelion (18, 47): Age - 35, Strength - 0
Dandelion (8, 43): Age - 35, Strength - 0
Dandelion (18, 29): Age - 35, Strength - 0
Dandelion (8, 42): Age - 35, Strength - 0
Grass (11, 55): Age - 35, Strength - 0
Dandelion (11, 45): Age - 34, Strength - 0
Dandelion (9, 44): Age - 34, Strength - 0
Dandelion (19, 47): Age - 34, Strength - 0
Dandelion (7, 43): Age - 34, Strength - 0
Hogweed (17, 25): Age - 34, Strength - 10
Dandelion (10, 40): Age - 34, Strength - 0
Grass (12, 54): Age - 34, Strength - 0
Grass (8, 52): Age - 34, Strength - 0
Dandelion (10, 32): Age - 34, Strength - 0
Hogweed (18, 26): Age - 34, Strength - 10
Grass (12, 46): Age - 34, Strength - 0
Grass (16, 48): Age - 34, Strength - 0
Guarana (2, 37): Age - 34, Strength - 0
Dandelion (17, 48): Age - 34, Strength - 0
Grass (13, 54): Age - 33, Strength - 0
Dandelion (9, 40): Age - 33, Strength - 0
Dandelion (8, 41): Age - 33, Strength - 0
Grass (7, 51): Age - 33, Strength - 0
Grass (8, 45): Age - 33, Strength - 0
Dandelion (9, 35): Age - 33, Strength - 0
Grass (10, 45): Age - 33, Strength - 0
Dandelion (15, 27): Age - 33, Strength - 0
Dandelion (18, 27): Age - 33, Strength - 0
Hogweed (17, 26): Age - 33, Strength - 10
Grass (16, 49): Age - 33, Strength - 0
Guarana (4, 38): Age - 33, Strength - 0
Deadly Nightshade (18, 18): Age - 33, Strength - 99
Hogweed (17, 20): Age - 33, Strength - 10
Dandelion (14, 29): Age - 33, Strength - 0
Grass (15, 52): Age - 33, Strength - 0
Dandelion (10, 31): Age - 33, Strength - 0
Dandelion (9, 34): Age - 33, Strength - 0
Grass (8, 49): Age - 33, Strength - 0
Guarana (0, 36): Age - 32, Strength - 0
Guarana (4, 43): Age - 32, Strength - 0
Dandelion (16, 26): Age - 32, Strength - 0
Dandelion (7, 42): Age - 32, Strength - 0
Dandelion (18, 48): Age - 32, Strength - 0
Dandelion (11, 46): Age - 32, Strength - 0
Dandelion (8, 44): Age - 32, Strength - 0
Deadly Nightshade (18, 17): Age - 32, Strength - 99
Guarana (0, 44): Age - 32, Strength - 0
Dandelion (13, 46): Age - 32, Strength - 0
Dandelion (8, 33): Age - 32, Strength - 0
Dandelion (8, 38): Age - 32, Strength - 0
Grass (12, 55): Age - 31, Strength - 0
Dandelion (17, 49): Age - 31, Strength - 0
Dandelion (19, 48): Age - 31, Strength - 0
Deadly Nightshade (19, 18): Age - 31, Strength - 99
Dandelion (14, 28): Age - 31, Strength - 0
Dandelion (8, 34): Age - 31, Strength - 0
Dandelion (7, 41): Age - 31, Strength - 0
Dandelion (8, 35): Age - 31, Strength - 0
Grass (10, 46): Age - 31, Strength - 0
Guarana (1, 36): Age - 31, Strength - 0
Dandelion (6, 42): Age - 31, Strength - 0
Deadly Nightshade (19, 17): Age - 31, Strength - 99
Guarana (6, 40): Age - 31, Strength - 0
Hogweed (15, 21): Age - 31, Strength - 10
Guarana (3, 43): Age - 31, Strength - 0
Dandelion (8, 39): Age - 31, Strength - 0
Hogweed (14, 21): Age - 30, Strength - 10
Dandelion (19, 49): Age - 30, Strength - 0
Grass (8, 48): Age - 30, Strength - 0
Dandelion (13, 30): Age - 30, Strength - 0
Guarana (5, 39): Age - 30, Strength - 0
Dandelion (9, 32): Age - 30, Strength - 0
Grass (15, 53): Age - 30, Strength - 0
Hogweed (16, 20): Age - 30, Strength - 10
Grass (10, 55): Age - 30, Strength - 0
Guarana (2, 36): Age - 30, Strength - 0
Dandelion (6, 43): Age - 30, Strength - 0
Dandelion (13, 29): Age - 30, Strength - 0
Dandelion (8, 40): Age - 30, Strength - 0
Dandelion (15, 26): Age - 30, Strength - 0
Dandelion (7, 44): Age - 30, Strength - 0
Guarana (5, 42): Age - 29, Strength - 0
Dandelion (7, 39): Age - 29, Strength - 0
Dandelion (13, 28): Age - 29, Strength - 0
Grass (7, 48): Age - 29, Strength - 0
Hogweed (15, 20): Age - 29, Strength - 10
Dandelion (6, 44): Age - 29, Strength - 0
Dandelion (7, 45): Age - 29, Strength - 0
Dandelion (19, 50): Age - 29, Strength - 0
Hogweed (15, 22): Age - 29, Strength - 10
Deadly Nightshade (17, 19): Age - 29, Strength - 99
Dandelion (15, 28): Age - 29, Strength - 0
Hogweed (13, 21): Age - 28, Strength - 10
Dandelion (13, 27): Age - 28, Strength - 0
Dandelion (6, 45): Age - 28, Strength - 0
Dandelion (8, 36): Age - 28, Strength - 0
Grass (7, 50): Age - 28, Strength - 0
Grass (15, 49): Age - 28, Strength - 0
Dandelion (8, 37): Age - 28, Strength - 0
Hogweed (16, 25): Age - 28, Strength - 10
Dandelion (14, 27): Age - 28, Strength - 0
Dandelion (7, 38): Age - 28, Strength - 0
Dandelion (18, 49): Age - 28, Strength - 0
Dandelion (17, 50): Age - 28, Strength - 0
Dandelion (6, 41): Age - 28, Strength - 0
Hogweed (16, 19): Age - 28, Strength - 10
Dandelion (7, 40): Age - 28, Strength - 0
Dandelion (15, 25): Age - 28, Strength - 0
Dandelion (14, 26): Age - 28, Strength - 0
Dandelion (15, 24): Age - 27, Strength - 0
Dandelion (14, 25): Age - 27, Strength - 0
Grass (14, 50): Age - 27, Strength - 0
Guarana (0, 45): Age - 27, Strength - 0
Dandelion (7, 35): Age - 27, Strength - 0
Deadly Nightshade (17, 18): Age - 27, Strength - 99
Guarana (5, 43): Age - 27, Strength - 0
Dandelion (19, 51): Age - 27, Strength - 0
Dandelion (7, 36): Age - 27, Strength - 0
Dandelion (6, 38): Age - 27, Strength - 0
Dandelion (18, 51): Age - 26, Strength - 0
Dandelion (6, 37): Age - 26, Strength - 0
Dandelion (12, 31): Age - 26, Strength - 0
Dandelion (11, 30): Age - 26, Strength - 0
Hogweed (16, 23): Age - 26, Strength - 10
Grass (16, 50): Age - 26, Strength - 0
Guarana (6, 39): Age - 26, Strength - 0
Grass (15, 54): Age - 26, Strength - 0
Dandelion (12, 29): Age - 26, Strength - 0
Hogweed (14, 22): Age - 26, Strength - 10
Dandelion (17, 51): Age - 26, Strength - 0
Dandelion (13, 26): Age - 26, Strength - 0
Guarana (1, 45): Age - 26, Strength - 0
Guarana (2, 44): Age - 25, Strength - 0
Dandelion (10, 30): Age - 25, Strength - 0
Grass (14, 54): Age - 25, Strength - 0
Grass (10, 54): Age - 25, Strength - 0
Grass (7, 49): Age - 25, Strength - 0
Dandelion (19, 52): Age - 25, Strength - 0
Dandelion (5, 38): Age - 25, Strength - 0
Dandelion (14, 24): Age - 25, Strength - 0
Grass (15, 51): Age - 25, Strength - 0
Guarana (1, 44): Age - 25, Strength - 0
Grass (9, 54): Age - 25, Strength - 0
Guarana (4, 44): Age - 24, Strength - 0
Hogweed (15, 23): Age - 24, Strength - 10
Dandelion (7, 37): Age - 24, Strength - 0
Dandelion (5, 45): Age - 24, Strength - 0
Dandelion (6, 35): Age - 24, Strength - 0
Dandelion (18, 52): Age - 24, Strength - 0
Guarana (3, 36): Age - 24, Strength - 0
Guarana (0, 35): Age - 24, Strength - 0
Dandelion (8, 32): Age - 23, Strength - 0
Dandelion (12, 30): Age - 23, Strength - 0
Dandelion (18, 50): Age - 23, Strength - 0
Dandelion (17, 52): Age - 23, Strength - 0
Grass (9, 55): Age - 23, Strength - 0
Dandelion (13, 24): Age - 23, Strength - 0
Dandelion (6, 34): Age - 23, Strength - 0
Guarana (4, 37): Age - 23, Strength - 0
Grass (13, 55): Age - 23, Strength - 0
Dandelion (7, 34): Age - 23, Strength - 0
Dandelion (11, 29): Age - 22, Strength - 0
Guarana (1, 35): Age - 22, Strength - 0
Dandelion (7, 32): Age - 22, Strength - 0
Dandelion (16, 52): Age - 22, Strength - 0
Grass (16, 53): Age - 22, Strength - 0
Grass (7, 47): Age - 22, Strength - 0
Dandelion (13, 25): Age - 22, Strength - 0
Dandelion (12, 26): Age - 22, Strength - 0
Dandelion (12, 27): Age - 21, Strength - 0
Dandelion (6, 46): Age - 21, Strength - 0
Grass (15, 50): Age - 21, Strength - 0
Dandelion (6, 36): Age - 21, Strength - 0
Dandelion (19, 53): Age - 21, Strength - 0
Dandelion (5, 44): Age - 21, Strength - 0
Dandelion (12, 25): Age - 21, Strength - 0
Grass (7, 46): Age - 21, Strength - 0
Dandelion (9, 31): Age - 21, Strength - 0
Dandelion (12, 28): Age - 21, Strength - 0
Dandelion (7, 33): Age - 20, Strength - 0
Dandelion (10, 29): Age - 20, Strength - 0
Grass (16, 51): Age - 20, Strength - 0
Guarana (4, 45): Age - 20, Strength - 0
Hogweed (14, 23): Age - 20, Strength - 10
Dandelion (11, 26): Age - 20, Strength - 0
Dandelion (8, 31): Age - 20, Strength - 0
Dandelion (11, 28): Age - 20, Strength - 0
Dandelion (11, 27): Age - 20, Strength - 0
Dandelion (5, 36): Age - 20, Strength - 0
Grass (8, 53): Age - 20, Strength - 0
Dandelion (12, 24): Age - 19, Strength - 0
Dandelion (10, 28): Age - 19, Strength - 0
Dandelion (10, 27): Age - 19, Strength - 0
Dandelion (5, 37): Age - 19, Strength - 0
Grass (8, 54): Age - 19, Strength - 0
Dandelion (9, 30): Age - 19, Strength - 0
Dandelion (5, 46): Age - 19, Strength - 0
Dandelion (6, 33): Age - 19, Strength - 0
Dandelion (9, 27): Age - 18, Strength - 0
Deadly Nightshade (19, 16): Age - 18, Strength - 99
Dandelion (18, 53): Age - 18, Strength - 0
Dandelion (9, 28): Age - 17, Strength - 0
Dandelion (9, 26): Age - 17, Strength - 0
Grass (7, 52): Age - 17, Strength - 0
Grass (10, 56): Age - 17, Strength - 0
Grass (14, 55): Age - 17, Strength - 0
Dandelion (7, 31): Age - 17, Strength - 0
Dandelion (6, 47): Age - 17, Strength - 0
Dandelion (11, 25): Age - 17, Strength - 0
Dandelion (10, 26): Age - 17, Strength - 0
Dandelion (5, 47): Age - 17, Strength - 0
Dandelion (12, 23): Age - 17, Strength - 0
Dandelion (9, 29): Age - 16, Strength - 0
Dandelion (17, 53): Age - 16, Strength - 0
Dandelion (10, 25): Age - 16, Strength - 0
Dandelion (8, 28): Age - 16, Strength - 0
Dandelion (8, 26): Age - 16, Strength - 0
Dandelion (9, 25): Age - 16, Strength - 0
Grass (6, 51): Age - 16, Strength - 0
Guarana (4, 46): Age - 16, Strength - 0
Dandelion (8, 30): Age - 16, Strength - 0
Grass (7, 53): Age - 16, Strength - 0
Hogweed (14, 20): Age - 15, Strength - 10
Hogweed (12, 21): Age - 15, Strength - 10
Guarana (0, 46): Age - 15, Strength - 0
Dandelion (5, 35): Age - 15, Strength - 0
Guarana (4, 36): Age - 15, Strength - 0
Dandelion (6, 32): Age - 15, Strength - 0
Dandelion (11, 24): Age - 15, Strength - 0
Dandelion (4, 47): Age - 15, Strength - 0
Dandelion (11, 23): Age - 15, Strength - 0
Dandelion (7, 30): Age - 15, Strength - 0
Dandelion (17, 54): Age - 15, Strength - 0
Guarana (3, 44): Age - 15, Strength - 0
Grass (12, 56): Age - 15, Strength - 0
Dandelion (3, 47): Age - 14, Strength - 0
Dandelion (5, 34): Age - 14, Strength - 0
Dandelion (6, 48): Age - 14, Strength - 0
Dandelion (10, 24): Age - 14, Strength - 0
Dandelion (8, 25): Age - 14, Strength - 0
Dandelion (8, 29): Age - 14, Strength - 0
Dandelion (2, 47): Age - 13, Strength - 0
Grass (11, 56): Age - 13, Strength - 0
Guarana (0, 34): Age - 13, Strength - 0
Dandelion (13, 23): Age - 13, Strength - 0
Dandelion (5, 33): Age - 13, Strength - 0
Deadly Nightshade (18, 16): Age - 13, Strength - 99
Dandelion (18, 54): Age - 13, Strength - 0
Dandelion (5, 32): Age - 13, Strength - 0
Dandelion (6, 49): Age - 13, Strength - 0
Hogweed (12, 20): Age - 12, Strength - 10
Dandelion (4, 34): Age - 12, Strength - 0
Dandelion (19, 54): Age - 12, Strength - 0
Dandelion (2, 46): Age - 12, Strength - 0
Hogweed (13, 22): Age - 12, Strength - 10
Grass (8, 55): Age - 12, Strength - 0
Grass (13, 56): Age - 12, Strength - 0
Grass (6, 52): Age - 12, Strength - 0
Dandelion (8, 27): Age - 12, Strength - 0
Grass (6, 53): Age - 12, Strength - 0
Dandelion (4, 48): Age - 12, Strength - 0
Dandelion (10, 23): Age - 12, Strength - 0
Dandelion (11, 22): Age - 12, Strength - 0
Grass (12, 57): Age - 12, Strength - 0
Grass (12, 58): Age - 11, Strength - 0
Dandelion (3, 46): Age - 11, Strength - 0
Deadly Nightshade (16, 18): Age - 11, Strength - 99
Guarana (1, 46): Age - 11, Strength - 0
Guarana (2, 35): Age - 11, Strength - 0
Dandelion (9, 24): Age - 11, Strength - 0
Dandelion (4, 33): Age - 11, Strength - 0
Dandelion (9, 23): Age - 11, Strength - 0
Dandelion (10, 22): Age - 11, Strength - 0
Dandelion (2, 48): Age - 10, Strength - 0
Dandelion (12, 22): Age - 10, Strength - 0
Dandelion (4, 35): Age - 10, Strength - 0
Dandelion (19, 55): Age - 10, Strength - 0
Dandelion (6, 31): Age - 10, Strength - 0
Dandelion (6, 30): Age - 10, Strength - 0
Guarana (3, 45): Age - 10, Strength - 0
Dandelion (16, 54): Age - 9, Strength - 0
Dandelion (3, 48): Age - 9, Strength - 0
Dandelion (5, 31): Age - 9, Strength - 0
Dandelion (1, 47): Age - 9, Strength - 0
Dandelion (3, 34): Age - 9, Strength - 0
Dandelion (4, 32): Age - 9, Strength - 0
Dandelion (10, 21): Age - 9, Strength - 0
Dandelion (2, 49): Age - 9, Strength - 0
Dandelion (3, 35): Age - 9, Strength - 0
Grass (7, 54): Age - 9, Strength - 0
Dandelion (7, 29): Age - 9, Strength - 0
Grass (13, 57): Age - 8, Strength - 0
Dandelion (1, 48): Age - 8, Strength - 0
Dandelion (6, 29): Age - 8, Strength - 0
Dandelion (3, 32): Age - 8, Strength - 0
Dandelion (1, 49): Age - 8, Strength - 0
Hogweed (11, 21): Age - 8, Strength - 10
Dandelion (8, 24): Age - 8, Strength - 0
Dandelion (6, 50): Age - 8, Strength - 0
Dandelion (18, 55): Age - 7, Strength - 0
Dandelion (4, 31): Age - 7, Strength - 0
Dandelion (2, 34): Age - 7, Strength - 0
Hogweed (11, 20): Age - 7, Strength - 10
Dandelion (8, 23): Age - 7, Strength - 0
Dandelion (6, 28): Age - 7, Strength - 0
Dandelion (2, 32): Age - 7, Strength - 0
Dandelion (3, 33): Age - 7, Strength - 0
Guarana (1, 34): Age - 7, Strength - 0
Dandelion (17, 55): Age - 7, Strength - 0
Dandelion (2, 45): Age - 7, Strength - 0
Grass (8, 56): Age - 7, Strength - 0
Dandelion (4, 49): Age - 7, Strength - 0
Grass (11, 58): Age - 7, Strength - 0
Dandelion (5, 30): Age - 7, Strength - 0
Dandelion (7, 25): Age - 6, Strength - 0
Dandelion (5, 49): Age - 6, Strength - 0
Dandelion (9, 22): Age - 6, Strength - 0
Grass (13, 58): Age - 6, Strength - 0
Dandelion (3, 49): Age - 6, Strength - 0
Dandelion (16, 55): Age - 6, Strength - 0
Dandelion (5, 50): Age - 6, Strength - 0
Dandelion (4, 30): Age - 6, Strength - 0
Dandelion (3, 31): Age - 6, Strength - 0
Dandelion (6, 27): Age - 6, Strength - 0
Dandelion (5, 48): Age - 6, Strength - 0
Dandelion (7, 27): Age - 5, Strength - 0
Dandelion (0, 47): Age - 5, Strength - 0
Dandelion (2, 50): Age - 5, Strength - 0
Dandelion (0, 48): Age - 5, Strength - 0
Dandelion (8, 22): Age - 5, Strength - 0
Dandelion (5, 28): Age - 5, Strength - 0
Dandelion (9, 21): Age - 5, Strength - 0
Dandelion (3, 50): Age - 5, Strength - 0
Dandelion (4, 50): Age - 5, Strength - 0
Dandelion (5, 27): Age - 5, Strength - 0
Dandelion (7, 28): Age - 5, Strength - 0
Grass (5, 51): Age - 5, Strength - 0
Dandelion (2, 31): Age - 4, Strength - 0
Dandelion (7, 26): Age - 4, Strength - 0
Dandelion (0, 49): Age - 4, Strength - 0
Hogweed (13, 20): Age - 4, Strength - 10
Guarana (0, 33): Age - 4, Strength - 0
Dandelion (15, 55): Age - 3, Strength - 0
Dandelion (16, 56): Age - 3, Strength - 0
Dandelion (6, 26): Age - 3, Strength - 0
Grass (7, 55): Age - 3, Strength - 0
Deadly Nightshade (16, 17): Age - 3, Strength - 99
Dandelion (19, 56): Age - 3, Strength - 0
Dandelion (5, 29): Age - 3, Strength - 0
Dandelion (2, 33): Age - 3, Strength - 0
Grass (14, 57): Age - 2, Strength - 0
Dandelion (7, 23): Age - 2, Strength - 0
Dandelion (3, 30): Age - 2, Strength - 0
Dandelion (4, 27): Age - 2, Strength - 0
Dandelion (2, 51): Age - 2, Strength - 0
Hogweed (15, 19): Age - 2, Strength - 10
Grass (11, 57): Age - 2, Strength - 0
Dandelion (1, 50): Age - 2, Strength - 0
Deadly Nightshade (19, 15): Age - 1, Strength - 99
Grass (9, 56): Age - 1, Strength - 0
Grass (5, 52): Age - 1, Strength - 0
Dandelion (1, 32): Age - 1, Strength - 0
Dandelion (4, 29): Age - 1, Strength - 0
Dandelion (8, 21): Age - 1, Strength - 0
Dandelion (5, 26): Age - 1, Strength - 0
Dandelion (2, 30): Age - 1, Strength - 0
Dandelion (2, 52): Age - 1, Strength - 0
Sheep (10, 12): Age - 0, Strength - 4
Sheep (10, 13): Age - 0, Strength - 4
Sheep (11, 12): Age - 0, Strength - 4
Sheep (8, 19): Age - 0, Strength - 4
Sheep (12, 17): Age - 0, Strength - 4
Sheep (13, 15): Age - 0, Strength - 4
Sheep (2, 23): Age - 0, Strength - 4
Sheep (0, 24): Age - 0, Strength - 4
Sheep (18, 13): Age - 0, Strength - 4
Sheep (15, 16): Age - 0, Strength - 4
Sheep (17, 13): Age - 0, Strength - 4
Sheep (15, 15): Age - 0, Strength - 4
Sheep (1, 24): Age - 0, Strength - 4
Sheep (16, 14): Age - 0, Strength - 4
Sheep (7, 22): Age - 0, Strength - 4
Sheep (3, 23): Age - 0, Strength - 4
Sheep (19, 13): Age - 0, Strength - 4
Sheep (4, 23): Age - 0, Strength - 4
Sheep (2, 24): Age - 0, Strength - 4
Sheep (6, 23): Age - 0, Strength - 4
Sheep (17, 14): Age - 0, Strength - 4
Sheep (5, 23): Age - 0, Strength - 4
Hogweed (12, 19): Age - 0, Strength - 10
Grass (6, 54): Age - 0, Strength - 0
Dandelion (17, 56): Age - 0, Strength - 0
Grass (10, 58): Age - 0, Strength - 0
Dandelion (9, 20): Age - 0, Strength - 0
Dandelion (19, 57): Age - 0, Strength - 0
Dandelion (7, 24): Age - 0, Strength - 0
Dandelion (3, 29): Age - 0, Strength - 0
Dandelion (4, 26): Age - 0, Strength - 0
Hogweed (14, 19): Age - 0, Strength - 10
Dandelion (0, 50): Age - 0, Strength - 0
Dandelion (0, 32): Age - 0, Strength - 0
Dandelion (5, 25): Age - 0, Strength - 0
Dandelion (1, 30): Age - 0, Strength - 0

LOGS:

-- Turn 0 --
Wolf (15, 15): Was created
Sheep (2, 2): Was created
Sheep (1, 4): Was created
Fox (5, 10): Was created
Turtle (1, 12): Was created
Antelope (0, 0): Was created
Grass (10, 50): Was created
Dandelion (19, 39): Was created
Guarana (0, 40): Was created
Deadly Nightshade (19, 20): Was created
Hogweed (19, 25): Was created
-- Turn 1 --
Fox (5, 10): Moved to (5, 11)
Wolf (15, 15): Moved to (15, 14)
Sheep (1, 4): Moved to (0, 4)
Sheep (2, 2): Moved to (2, 1)
Antelope (0, 0): Moved to (2, 0)
Deadly Nightshade (19, 21): Was created
Deadly Nightshade (19, 20): Spread to (19, 21)
-- Turn 2 --
Fox (5, 11): Moved to (5, 12)
Wolf (15, 14): Moved to (14, 14)
Sheep (0, 4): Moved to (0, 3)
Sheep (2, 1): Moved to (1, 1)
Antelope (2, 0): Moved to (0, 0)
Dandelion (18, 39): Was created
Dandelion (19, 39): Spread to (18, 39)
-- Turn 3 --
Fox (5, 12): Moved to (4, 12)
Wolf (14, 14): Moved to (15, 14)
Sheep (0, 3): Moved to (1, 3)
Sheep (1, 1): Moved to (1, 0)
Antelope (0, 0): Moved to (2, 0)
Turtle (1, 12): Moved to (0, 12)
Dandelion (19, 38): Was created
Dandelion (19, 39): Spread to (19, 38)
-- Turn 4 --
Fox (4, 12): Moved to (3, 12)
Wolf (15, 14): Moved to (15, 13)
Sheep (1, 3): Moved to (0, 3)
Sheep (1, 0): Moved to (1, 1)
Antelope (2, 0): Moved to (4, 0)
Turtle (0, 12): Moved to (0, 11)
Dandelion (19, 37): Was created
Dandelion (19, 38): Spread to (19, 37)
-- Turn 5 --
Fox (3, 12): Moved to (4, 12)
Wolf (15, 13): Moved to (15, 12)
Sheep (0, 3): Moved to (0, 2)
Sheep (1, 1): Moved to (1, 0)
Antelope (4, 0): Moved to (2, 0)
Hogweed (18, 25): Was created
Hogweed (19, 25): Spread to (18, 25)
Dandelion (17, 39): Was created
Dandelion (18, 39): Spread to (17, 39)
-- Turn 6 --
Fox (4, 12): Moved to (4, 13)
Wolf (15, 12): Moved to (14, 12)
Sheep (0, 2): Moved to (0, 3)
Sheep (1, 0): Moved to (0, 0)
Antelope (2, 0): Moved to (4, 0)
Turtle (0, 11): Moved to (0, 12)
-- Turn 7 --
Fox (4, 13): Moved to (4, 12)
Wolf (14, 12): Moved to (14, 11)
Sheep (0, 3): Moved to (0, 2)
Sheep (0, 0): Moved to (0, 1)
Antelope (4, 0): Moved to (2, 0)
Dandelion (19, 40): Was created
Dandelion (19, 39): Spread to (19, 40)
Guarana (0, 41): Was created
Guarana (0, 40): Spread to (0, 41)
-- Turn 8 --
Fox (4, 12): Moved to (5, 12)
Wolf (14, 11): Moved to (14, 10)
Sheep (0, 2): Moved to (0, 3)
Sheep (0, 1): Moved to (0, 0)
Antelope (2, 0): Moved to (4, 0)
Hogweed (19, 24): Was created
Hogweed (19, 25): Spread to (19, 24)
Dandelion (18, 37): Was created
Dandelion (19, 37): Spread to (18, 37)
Hogweed (18, 24): Was created
Hogweed (18, 25): Spread to (18, 24)
Dandelion (17, 38): Was created
Dandelion (17, 39): Spread to (17, 38)
Guarana (1, 41): Was created
Guarana (0, 41): Spread to (1, 41)
-- Turn 9 --
Fox (5, 12): Moved to (5, 13)
Wolf (14, 10): Moved to (15, 10)
Sheep (0, 3): Moved to (1, 3)
Sheep (0, 0): Moved to (1, 0)
Antelope (4, 0): Moved to (6, 0)
Turtle (0, 12): Moved to (1, 12)
Dandelion (16, 39): Was created
Dandelion (17, 39): Spread to (16, 39)
-- Turn 10 --
Fox (5, 13): Moved to (4, 13)
Wolf (15, 10): Moved to (14, 10)
Sheep (1, 3): Moved to (2, 3)
Sheep (1, 0): Moved to (1, 1)
Antelope (6, 0): Moved to (6, 2)
Grass (11, 50): Was created
Grass (10, 50): Spread to (11, 50)
Guarana (1, 40): Was created
Guarana (0, 40): Spread to (1, 40)
Dandelion (18, 38): Was created
Dandelion (19, 38): Spread to (18, 38)
Dandelion (18, 36): Was created
Dandelion (18, 37): Spread to (18, 36)
Dandelion (17, 37): Was created
Dandelion (18, 37): Spread to (17, 37)
Dandelion (16, 38): Was created
Dandelion (17, 38): Spread to (16, 38)
-- Turn 11 --
Fox (4, 13): Moved to (4, 14)
Wolf (14, 10): Moved to (13, 10)
Sheep (2, 3): Moved to (2, 4)
Sheep (1, 1): Moved to (0, 1)
Antelope (6, 2): Moved to (6, 0)
Dandelion (18, 40): Was created
Dandelion (19, 40): Spread to (18, 40)
Guarana (2, 41): Was created
Guarana (1, 41): Spread to (2, 41)
Dandelion (15, 39): Was created
Dandelion (16, 39): Spread to (15, 39)
Dandelion (18, 35): Was created
Dandelion (18, 36): Spread to (18, 35)
Dandelion (16, 37): Was created
Dandelion (16, 38): Spread to (16, 37)
-- Turn 12 --
Fox (4, 14): Moved to (4, 15)
Wolf (13, 10): Moved to (13, 11)
Sheep (2, 4): Moved to (1, 4)
Sheep (0, 1): Moved to (0, 2)
Antelope (6, 0): Moved to (8, 0)
Dandelion (19, 36): Was created
Dandelion (19, 37): Spread to (19, 36)
Dandelion (19, 41): Was created
Dandelion (19, 40): Spread to (19, 41)
Hogweed (19, 23): Was created
Hogweed (19, 24): Spread to (19, 23)
Dandelion (16, 40): Was created
Dandelion (16, 39): Spread to (16, 40)
Dandelion (17, 36): Was created
Dandelion (17, 37): Spread to (17, 36)
Dandelion (16, 36): Was created
Dandelion (16, 37): Spread to (16, 36)
-- Turn 13 --
Fox (4, 15): Moved to (3, 15)
Wolf (13, 11): Moved to (13, 12)
Sheep (1, 4): Moved to (1, 5)
Sheep (0, 2): Moved to (1, 2)
Antelope (8, 0): Moved to (8, 2)
